canonical_reaction_smiles,reaction_display_label_detailed,original_reaction_type,detected_reaction_family,detection_status,transformation_class,signature_id,evidence_quality,transformation_confidence,stereochemical_changes,reaction_completeness_status,product_heavy_atom_coverage,product_element_excess,partial_transformation_class,removed_fragment,installed_fragment,installed_fragment_key,fragment_source_status,fragment_source_candidates,missing_product_atom_elements,chemistry_status,condition_status,condition_stage_status,index_eligibility,admission_reasons,warnings,spectators,reactivity_profile
CC(=O)CCc1ccccc1.CC(C)OC(OC(C)C)OC(C)C>>CC(C)OC(C)(CCc1ccccc1)OC(C)C,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,unassigned_multistage,review_only,missing_verified_reaction_signature; multistage_conditions_not_structured; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC(C)CC=O.OCCO>>CC(C)CC1OCCO1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,unresolved_retained,single_stage,review_only,condition_identifier_uncertainty; missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CO.O=Cc1ccc(Cl)cc1>>COC(OC)c1ccc(Cl)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.916667,"{""C"":1}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; insufficient_reactant_multiplicity; unaccounted_product_heavy_atoms,INSUFFICIENT_REACTANT_MULTIPLICITY; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCOC(OCC)OCC.O=C/C=C/c1ccccc1>>CCOC(/C=C/c1ccccc1)OCC,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
O=Cc1ccc([N+](=O)[O-])cc1.OCCO>>O=[N+]([O-])c1ccc(C2OCCO2)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,unresolved_retained,single_stage,review_only,condition_identifier_uncertainty; missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
O=Cc1cccc([N+](=O)[O-])c1.OCCO>>O=[N+]([O-])c1cccc(C2OCCO2)c1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,unresolved_retained,unassigned_multistage,review_only,condition_identifier_uncertainty; missing_verified_reaction_signature; multistage_conditions_not_structured; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
O=Cc1cccc(C(F)(F)F)c1.OC[C@@H]1[C@H](CO)[C@H]2C=C[C@@H]1O2>>FC(F)(F)c1cccc([C@@H]2OC[C@@H]3[C@H](CO2)[C@H]2C=C[C@@H]3O2)c1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CCO.COc1cccc(C=O)c1>>CCOC(OCC)c1cccc(OC)c1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.866667,"{""C"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCO.COc1ccc(C=O)cc1>>CCOC(OCC)c1ccc(OC)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.866667,"{""C"":2}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
COC(OC)OC.N#Cc1ccc(C=O)cc1>>COC(OC)c1ccc(C#N)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,unresolved_retained,single_stage,review_only,condition_identifier_uncertainty; missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CCCCCCCCCC=O.COC(OC)OC>>CCCCCCCCCC(OC)OC,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC(C=O)c1ccccc1.OCCCO>>CC(c1ccccc1)C1OCCCO1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,unresolved_retained,unassigned_multistage,review_only,condition_identifier_uncertainty; missing_verified_reaction_signature; multistage_conditions_not_structured; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CO.O=C1CCCCC1>>COC1(OC)CCCCC1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.9,"{""C"":1}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCOC(OCC)OCC.Cc1ccc(C=O)cc1>>CCOC(OCC)c1ccc(C)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC(C)=O.OCC(O)C(O)C(O)CO>>CC1(C)OC[C@@H]([C@H]2OC(C)(C)O[C@H]2CO)O1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.8125,"{""C"":3}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=Cc1ccccc1-c1ccccc1.OCCO>>c1ccc(-c2ccccc2C2OCCO2)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,unassigned_multistage,review_only,missing_verified_reaction_signature; multistage_conditions_not_structured; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC(C)C=O.OCCCO>>CC(C)C1OCCCO1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,unresolved_retained,unassigned_multistage,review_only,condition_identifier_uncertainty; missing_verified_reaction_signature; multistage_conditions_not_structured; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CCCCCCCCCCC=O.OCCO>>CCCCCCCCCCC1OCCO1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC(=O)c1ccc(-c2ccc(Br)cc2)cc1.OCCO>>BrCC1(c2ccc(-c3ccc(Br)cc3)cc2)OCCO1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.95,"{""Br"":1}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC=O.CO>>COC(C)OC,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.833333,"{""C"":1}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCO.O=C1CCCC1>>CCOC1(OCC)CCCC1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.818182,"{""C"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCCCCCC=O.OCc1ccccc1>>CCCCCCC(OCc1ccccc1)OCc1ccccc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.695652,"{""C"":7}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=Cc1ccc([N+](=O)[O-])cc1.OCC(CO)(CO)CO>>O=[N+]([O-])c1ccc(C2OCC3(CO2)COC(c2ccc([N+](=O)[O-])cc2)OC3)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.689655,"{""C"":7,""N"":1,""O"":1}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,insufficient_reactant_multiplicity; unaccounted_product_heavy_atoms,INSUFFICIENT_REACTANT_MULTIPLICITY; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC(=O)Oc1ccc(C=O)cc1.CO>>COC(OC)c1ccc(OC(C)=O)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.933333,"{""C"":1}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CO.O=CC1CCCCC1>>COC(OC)C1CCCCC1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.909091,"{""C"":1}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC(=O)c1ccc([N+](=O)[O-])cc1.CO>>COC(CBr)(OC)c1ccc([N+](=O)[O-])cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.875,"{""Br"":1,""C"":1}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
OCCO.[N-]=[N+]=Nc1ccsc1C=O>>[N-]=[N+]=Nc1ccsc1C1OCCO1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC(=O)c1ccc(C=O)cc1.CO>>COC(OC)c1ccc(C(C)=O)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.928571,"{""C"":1}",,,,,,,,rejected,resolved_complete,unassigned_multistage,ineligible,multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
COc1cccc(C=O)c1OC.OCC1(CO)CC2C=CC1C2>>COc1cccc(C2OCC3(CO2)CC2C=CC3C2)c1OC,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC(=O)c1ccc2ccccc2c1.OCCO>>CC1(c2ccc3ccccc3c2)OCCO1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
C=CCCC=O.CC(Br)(C=O)c1ccccc1.CO>>C=CCC[C@H](O)[C@](C)(c1ccccc1)C(OC)OC,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.947368,"{""C"":1}",,,,,,,,rejected,unresolved_retained,unassigned_multistage,ineligible,condition_identifier_uncertainty; multistage_conditions_not_structured; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=Cc1ccc(Cl)cc1.OCCS>>Clc1ccc(C2OCCS2)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CO.O=C(c1ccccc1)c1ccccc1>>COC(OC)(c1ccccc1)c1ccccc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.941176,"{""C"":1}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=Cc1cccc(Cl)c1.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO>>OC[C@@H](O)[C@H]1OC(c2cccc(Cl)c2)O[C@H]2COC(c3cccc(Cl)c3)O[C@@H]12,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.714286,"{""C"":7,""Cl"":1}",,,,,,,,rejected,unusable,unassigned_multistage,ineligible,insufficient_reactant_multiplicity; multistage_conditions_not_structured; solvent_only_recipe; unaccounted_product_heavy_atoms,INSUFFICIENT_REACTANT_MULTIPLICITY; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC(C)=O.CCSC(SCC)[C@H](O)[C@@H](O)[C@H](O)CO>>CCSC(SCC)[C@@H]1OC(C)(C)O[C@H]1[C@H]1COC(C)(C)O1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.857143,"{""C"":3}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC(=O)c1ccccc1.OCCO>>BrCC1(c2ccccc2)OCCO1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.923077,"{""Br"":1}",,,,,,,,rejected,resolved_complete,single_stage,ineligible,suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=CC=Cc1ccccc1.OCCO>>C(=CC1OCCO1)c1ccccc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
O=Cc1ccc(O)cc1.OCCO>>Oc1ccc(C2OCCO2)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,unresolved_retained,single_stage,review_only,condition_identifier_uncertainty; missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
O=C(c1ccccc1)c1ccccc1.OCC(CO)(CO)CO>>c1ccc(C2(c3ccccc3)OCC3(CO2)COC(c2ccccc2)(c2ccccc2)OC3)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.628571,"{""C"":13}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=Cc1cccc(Cl)c1.OCCCO>>Clc1cccc(C2OCCCO2)c1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,unresolved_retained,unassigned_multistage,review_only,condition_identifier_uncertainty; missing_verified_reaction_signature; multistage_conditions_not_structured; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC12CCC(=O)C=C1CCCC2=O.OCCO>>CC12CCC(=O)C=C1CCCC21OCCO1.CC12CCC3(C=C1CCCC21OCCO1)OCCO3,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.485714,"{""C"":15,""O"":3}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CCO.O=CC=Cc1ccccc1>>CCOC(C=Cc1ccccc1)OCC,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.866667,"{""C"":2}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC(=O)C1CCCCC1=O.COC(OC)OC>>COC(=O)CCCCCC(C)(OC)OC,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,unassigned_multistage,review_only,missing_verified_reaction_signature; multistage_conditions_not_structured; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CCCCCC=O.OCCO>>CCCCCC1OCCO1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,unresolved_retained,single_stage,review_only,condition_identifier_uncertainty; missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC(C)(C)c1ccc(C=O)cc1.OC[C@@H]1[C@H](CO)[C@H]2C=C[C@@H]1O2>>CC(C)(C)c1ccc([C@@H]2OC[C@@H]3[C@H](CO2)[C@H]2C=C[C@@H]3O2)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
O=CC1CC1.O[C@H](c1ccccc1)[C@H](O)c1ccccc1>>c1ccc([C@H]2OC(C3CC3)O[C@@H]2c2ccccc2)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CO.COc1cc(C=O)cc(OC)c1OC>>COc1cc(C(OC)OC)cc(OC)c1OC,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.941176,"{""C"":1}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
